Problem,Method,Benchmark,Instance,n,m,LB,UB,Gap,ActualTime,BKS,RPD
Tardinessflowshop,CPLEX_CP,Eva,232,350,30,6011,861842,0.993025404,3600.914,559213,35.11420887
Tardinessflowshop,CPLEX_CP,Eva,233,350,30,6275,945158,0.993360898,3601.298,605990,35.88479387
Tardinessflowshop,CPLEX_CP,Eva,234,350,30,6048,998047,0.993940165,3601.078,616613,38.21803983
Tardinessflowshop,CPLEX_CP,Eva,235,350,30,6060,977559,0.993800886,3600.987,591743,39.46728535
Tardinessflowshop,CPLEX_CP,Eva,236,350,50,6642,1332650,0.995015946,3601.681,853777,35.93389112
Tardinessflowshop,CPLEX_CP,Eva,237,350,50,6575,1264910,0.994802002,3601.997,795709,37.09362721
Tardinessflowshop,CPLEX_CP,Eva,238,350,50,6619,1359940,0.995132874,3601.753,866200,36.3060135
Tardinessflowshop,CPLEX_CP,Eva,239,350,50,6470,1350740,0.995210033,3601.467,884137,34.54424982
Tardinessflowshop,CPLEX_CP,Eva,240,350,50,6517,1347690,0.995164318,3601.486,878294,34.82967151
Tardinessflowshop,CPLEX_CP,Eva,241,50,10,444,15064,0.970525757,3600.13,11205,25.61736591
Tardinessflowshop,CPLEX_CP,Eva,242,50,10,450,8564,0.947454461,3600.685,11066,-29.21531994
Tardinessflowshop,CPLEX_CP,Eva,243,50,10,662,10825,0.938845266,3600.159,12065,-11.45496536
Tardinessflowshop,CPLEX_CP,Eva,244,50,10,775,14474,0.946455714,3600.147,12078,16.55382064
Tardinessflowshop,CPLEX_CP,Eva,245,50,10,424,13622,0.96887388,3600.19,14884,-9.264425195
Tardinessflowshop,CPLEX_CP,Eva,246,50,30,4042,49551,0.918427479,3600.247,47354,4.433815665
Tardinessflowshop,CPLEX_CP,Eva,247,50,30,4624,48244,0.904153884,3600.181,42903,11.07080673
Tardinessflowshop,CPLEX_CP,Eva,248,50,30,1878,46964,0.960011924,3600.225,44761,4.690827016
Tardinessflowshop,CPLEX_CP,Eva,249,50,30,5540,50101,0.889423365,3600.221,42447,15.27714018
Tardinessflowshop,CPLEX_CP,Eva,250,50,30,1967,48003,0.959023394,3600.226,41696,13.13876216
Tardinessflowshop,CPLEX_CP,Eva,251,50,50,25932,83315,0.688747524,3600.368,75127,9.827762108
Tardinessflowshop,CPLEX_CP,Eva,252,50,50,23977,85105,0.718265672,3600.411,73045,14.17073027
Tardinessflowshop,CPLEX_CP,Eva,253,50,50,32612,88915,0.633222741,3600.356,74284,16.45504133
Tardinessflowshop,CPLEX_CP,Eva,254,50,50,37594,92117,0.591888576,3600.34,67001,27.26532562
Tardinessflowshop,CPLEX_CP,Eva,255,50,50,16700,77155,0.783552589,3600.385,78239,-1.404964033
Tardinessflowshop,CPLEX_CP,Eva,256,150,10,947,19825,0.95223203,3600.277,13575,31.5258512
Tardinessflowshop,CPLEX_CP,Eva,257,150,10,1008,26738,0.962300845,3600.242,21137,20.94771486
Tardinessflowshop,CPLEX_CP,Eva,258,150,10,983,42588,0.976918381,3600.219,27165,36.2144266
Tardinessflowshop,CPLEX_CP,Eva,259,150,10,1162,43675,0.97339439,3600.289,28791,34.07899256
Tardinessflowshop,CPLEX_CP,Eva,260,150,10,1088,33200,0.967228916,3600.245,23162,30.23493976
Tardinessflowshop,CPLEX_CP,Eva,261,150,30,1637,217568,0.992475916,3600.586,155908,28.34056479
Tardinessflowshop,CPLEX_CP,Eva,262,150,30,1523,210120,0.992751761,3600.511,139246,33.73024938
Tardinessflowshop,CPLEX_CP,Eva,263,150,30,1374,224937,0.993891623,3600.506,155035,31.07625691
Tardinessflowshop,CPLEX_CP,Eva,264,150,30,1547,174523,0.991135839,3600.44,122504,29.80638655
Tardinessflowshop,CPLEX_CP,Eva,265,150,30,1441,137449,0.989516111,3600.489,83922,38.94317165
Tardinessflowshop,CPLEX_CP,Eva,266,150,50,1594,364261,0.995624017,3600.878,273785,24.83823412
Tardinessflowshop,CPLEX_CP,Eva,267,150,50,1304,314084,0.995848244,3600.862,233933,25.51896945
Tardinessflowshop,CPLEX_CP,Eva,268,150,50,1546,312883,0.995058856,3600.869,229903,26.52109575
Tardinessflowshop,CPLEX_CP,Eva,269,150,50,1554,360422,0.995688388,3601.038,266155,26.15461875
Tardinessflowshop,CPLEX_CP,Eva,270,150,50,1901,341702,0.994436673,3600.713,253090,25.93253771
Tardinessflowshop,CPLEX_CP,Eva,271,250,10,1690,112287,0.984949282,3600.362,81686,27.25248693
Tardinessflowshop,CPLEX_CP,Eva,272,250,10,1728,88733,0.980525847,3600.362,51617,41.82885736
Tardinessflowshop,CPLEX_CP,Eva,273,250,10,1581,81404,0.98057835,3600.417,51831,36.32868164
Tardinessflowshop,CPLEX_CP,Eva,274,250,10,1759,88346,0.980089648,3600.29,62502,29.2531637
Tardinessflowshop,CPLEX_CP,Eva,275,250,10,1509,62778,0.975962917,3600.262,42373,32.50342477
Tardinessflowshop,CPLEX_CP,Eva,276,250,30,2076,401614,0.994830857,3601.029,221269,44.90505809
Tardinessflowshop,CPLEX_CP,Eva,277,250,30,1906,401754,0.995255803,3601.085,197933,50.73278673
Tardinessflowshop,CPLEX_CP,Eva,278,250,30,1729,477191,0.996376713,3600.769,251129,47.37348357
Tardinessflowshop,CPLEX_CP,Eva,279,250,30,1741,366990,0.995256002,3600.885,184637,49.68881986
Tardinessflowshop,CPLEX_CP,Eva,280,250,30,1747,413694,0.995777072,3600.844,192299,53.51660889
